Timer;Accel1X;Accel1Y;Accel1Z;Gyro1X;Gyro1Y;Gyro1Z;Accel2X;Accel2Y;Accel2Z;Gyro2X;Gyro2Y;Gyro2Z;Latitude;Longitude;Altitude;Vitesse;Orientation;Satellites;HDOP;
509;18944;2036;-288;-12101;-166;984;14720;-1220;32767;17;397;32;;;;;;;;
2531;18888;2400;-216;-11996;-183;891;14740;-1212;32767;27;385;56;;;;;;;;
4548;18840;2156;-304;-12041;-188;944;14660;-1248;32767;51;400;35;;;;;;;;
6683;18880;2088;-284;-12133;-189;902;14720;-1264;32767;30;414;32;;;;;;;;
8700;18924;2076;-416;-12078;-175;975;14740;-1240;32767;18;377;23;;;;;;;;
10721;18828;1920;-192;-12130;-182;804;14668;-1288;32767;28;417;26;;;;;;;;
12909;18848;1756;-232;-12097;-166;837;14792;-1196;32767;52;400;34;;;;;;;;
14926;18712;2092;-280;-12077;-166;1043;14632;-1204;32767;29;399;47;;;;;;;;
16944;18816;2224;-364;-12006;-190;853;14676;-1248;32767;46;395;32;;;;;;;;
19180;18896;2180;-324;-12106;-154;918;14692;-1204;32767;46;389;49;;;;;;;;
21198;18968;2288;-244;-12139;-191;879;14756;-1212;32767;42;415;37;;;;;;;;
23215;18920;2188;-340;-12120;-162;943;14700;-1188;32767;36;408;21;;;;;;;;
25428;18840;2016;-200;-12021;-183;935;14756;-1276;32767;27;399;38;;;;;;;;
27446;18888;2340;-388;-12015;-189;864;14700;-1184;32767;35;413;36;;;;;;;;
29463;18832;1904;-308;-12106;-166;877;14708;-1184;32767;47;403;16;;;;;;;;
31595;18900;2008;-316;-12086;-147;841;14748;-1232;32767;23;397;32;;;;;;;;
33612;18876;2156;-288;-12162;-165;893;14656;-1264;32767;37;402;27;;;;;;;;
35630;18888;1972;-164;-12056;-154;836;14804;-1264;32767;16;395;37;;;;;;;;
37952;18852;2112;-372;-12154;-174;926;14712;-1252;32767;40;391;36;;;;;;;;
39974;18876;2140;-420;-12169;-142;942;14744;-1228;32767;48;424;25;;;;;;;;
41992;18924;2224;-308;-12077;-183;917;14692;-1244;32767;41;386;37;;;;;;;;
44122;18908;2232;-320;-12034;-160;961;14728;-1256;32767;57;411;23;;;;;;;;
46140;18868;2092;-320;-11953;-172;896;14712;-1268;32767;51;410;35;;;;;;;;
48157;18832;2312;-300;-12108;-154;1065;14676;-1228;32767;39;373;32;;;;;;;;
50415;18884;2256;-316;-12128;-175;926;14720;-1280;32767;32;386;41;;;;;;;;
52432;18896;2364;-284;-12114;-170;821;14732;-1244;32767;45;393;27;;;;;;;;
54455;18840;2148;-372;-12025;-159;875;14700;-1228;32767;51;381;16;;;;;;;;
56703;18828;2224;-440;-12137;-155;1043;14720;-1308;32767;40;394;31;;;;;;;;
58720;18796;2332;-344;-11978;-177;939;14672;-1292;32767;33;410;45;;;;;;;;
60738;18752;2032;-304;-12135;-160;851;14664;-1272;32767;59;395;43;;;;;;;;
63064;18928;2112;-376;-12084;-184;917;14656;-1236;32767;15;390;29;;;;;;;;
65096;18832;2284;-440;-12028;-188;987;14744;-1236;32767;19;379;43;;;;;;;;
67118;18900;2312;-288;-12096;-190;968;14684;-1244;32767;33;391;25;;;;;;;;
69327;19036;2248;-316;-12070;-169;818;14732;-1268;32767;28;398;32;;;;;;;;
71345;18840;2184;-312;-12016;-156;936;14704;-1212;32767;39;384;42;;;;;;;;
73362;18868;2124;-296;-12035;-177;914;14680;-1268;32767;22;381;35;;;;;;;;
75617;18824;2268;-408;-12115;-178;924;14728;-1248;32767;38;404;15;;;;;;;;
77634;18816;1892;-312;-12181;-140;916;14692;-1284;32767;37;386;25;;;;;;;;
79652;18868;2320;-324;-12012;-164;923;14704;-1244;32767;39;384;25;;;;;;;;
81829;18908;1916;-284;-12241;-190;923;14688;-1236;32767;37;387;39;;;;;;;;
83846;18960;2436;-148;-12155;-189;837;14728;-1224;32767;48;391;34;;;;;;;;
85864;18820;1940;-360;-11947;-190;949;14684;-1168;32767;22;409;26;;;;;;;;
87992;18900;2224;-352;-12086;-179;924;14704;-1252;32767;35;398;24;;;;;;;;
90010;18944;2424;-436;-12258;-178;934;14720;-1268;32767;37;400;30;;;;;;;;
92027;18872;2260;-228;-11969;-159;957;14752;-1292;32767;30;408;33;;;;;;;;
94317;18864;2316;-284;-12031;-182;924;14680;-1328;32767;55;401;19;;;;;;;;
96339;18812;2076;-404;-12252;-153;839;14728;-1264;32767;15;392;51;;;;;;;;
98356;18908;2368;-308;-12038;-153;992;14712;-1252;32767;38;394;20;;;;;;;;
100816;18884;2068;-432;-12199;-174;963;14700;-1228;32767;35;371;40;;;;;;;;
102833;18916;2184;-320;-12001;-171;843;14724;-1248;32767;22;422;18;;;;;;;;
104851;18892;2044;-320;-12145;-150;914;14716;-1208;32767;32;407;35;;;;;;;;
107223;18936;1916;-284;-12071;-160;914;14672;-1268;32767;34;401;37;;;;;;;;
109241;18916;2080;-276;-12067;-179;924;14704;-1212;32767;29;398;44;;;;;;;;
111277;18704;2064;-248;-12234;-168;846;14724;-1248;32767;41;406;41;;;;;;;;
113825;18936;2224;-304;-11995;-175;968;14744;-1268;32767;29;383;34;;;;;;;;
115847;18832;2112;-284;-12011;-175;896;14692;-1228;32767;42;391;29;;;;;;;;
117867;18844;2240;-208;-12107;-188;939;14720;-1216;32767;27;387;23;;;;;;;;
120332;18896;2256;-356;-11966;-160;937;14708;-1316;32767;26;378;21;;;;;;;;
122352;19016;2168;-312;-12105;-157;841;14708;-1256;32767;23;400;38;;;;;;;;
124374;18784;2224;-232;-12005;-151;836;14648;-1252;32767;41;389;49;;;;;;;;
126510;18812;2192;-344;-12107;-170;934;14720;-1196;32767;39;385;43;;;;;;;;
128531;18820;2356;-352;-12085;-161;965;14684;-1192;32767;49;399;36;;;;;;;;
130553;18852;2052;-436;-12058;-182;887;14712;-1228;32767;35;379;42;;;;;;;;
133152;18784;2316;-288;-12095;-181;859;14652;-1200;32767;34;399;21;;;;;;;;
135187;18932;2096;-52;-12057;-172;981;14804;-1312;32767;46;404;38;;;;;;;;
137207;19004;2368;-252;-11963;-179;953;14728;-1248;32767;24;416;33;;;;;;;;
139421;18872;2496;-232;-12072;-173;866;14768;-1296;32767;50;397;44;;;;;;;;
141443;18848;2372;-248;-12075;-166;884;14640;-1152;32767;33;399;35;;;;;;;;
