Timer;Accel1X;Accel1Y;Accel1Z;Gyro1X;Gyro1Y;Gyro1Z;Accel2X;Accel2Y;Accel2Z;Gyro2X;Gyro2Y;Gyro2Z;Flexion;Latitude;Longitude;Altitude;Vitesse;Orientation;Satellites;HDOP;
515;18724;96;644;-12058;-201;881;14392;-2360;32767;74;360;88;124;;;;;;;;
2539;19236;480;1164;-12011;-89;884;14940;-2060;32767;92;412;142;34;;;;;;;;
4558;18684;408;1028;-12003;-199;897;14604;-2244;32767;50;356;23;23;;;;;;;;
6991;18704;424;740;-12133;-172;924;14556;-2304;32767;48;380;29;10;;;;;;;;
9010;18856;784;884;-12025;-148;830;14696;-2064;32767;20;403;-49;11;;;;;;;;
11032;18832;596;1052;-12071;-171;912;14668;-2160;32767;51;410;3;16;;;;;;;;
13340;18772;356;1036;-12137;-145;851;14544;-2244;32767;38;397;28;17;;;;;;;;
15359;18812;300;972;-12155;-170;922;14496;-2220;32767;67;421;34;19;;;;;;;;
17378;18756;244;1008;-12041;-167;874;14628;-2276;32767;36;394;56;9;;;;;;;;
20054;18728;288;920;-12083;-173;881;14608;-2268;32767;59;410;34;16;;;;;;;;
22073;18820;440;904;-12055;-191;821;14596;-2328;32767;68;398;22;17;;;;;;;;
24092;18748;252;984;-12095;-181;845;14536;-2368;32767;35;412;7;16;;;;;;;;
26245;18776;364;1016;-12274;-162;814;14540;-2256;32767;52;408;32;8;;;;;;;;
28264;18888;264;1012;-12082;-160;914;14596;-2272;32767;52;389;15;11;;;;;;;;
30283;18892;8;1092;-12061;-176;860;14540;-2364;32767;36;383;35;0;;;;;;;;
32447;18952;352;824;-12114;-170;887;14704;-2204;32767;65;391;21;11;;;;;;;;
34466;18732;552;888;-11971;-170;960;14512;-2304;32767;40;376;10;7;;;;;;;;
36485;18752;344;928;-12055;-194;938;14652;-2336;32767;50;345;50;2;;;;;;;;
38649;18744;184;1024;-11936;-159;947;14516;-2324;32767;52;391;34;9;;;;;;;;
40671;18728;216;892;-11977;-163;894;14500;-2240;32767;28;384;17;12;;;;;;;;
42690;18796;604;976;-12067;-155;894;14596;-2260;32767;58;394;21;0;;;;;;;;
45153;18720;292;820;-12127;-191;853;14560;-2320;32767;42;366;38;0;;;;;;;;
47172;18752;660;1084;-12174;-169;858;14540;-2296;32767;46;362;43;11;;;;;;;;
49191;18748;304;972;-12123;-169;858;14580;-2232;32767;39;384;43;10;;;;;;;;
51339;18748;268;988;-12105;-160;893;14536;-2308;32767;41;395;26;2;;;;;;;;
53363;18812;436;996;-12066;-175;850;14628;-2292;32767;61;399;33;12;;;;;;;;
55382;18728;364;888;-12008;-160;953;14556;-2244;32767;53;364;20;13;;;;;;;;
57644;18752;316;1020;-11914;-202;919;14624;-2312;32767;57;358;29;10;;;;;;;;
59663;18836;320;948;-12113;-159;838;14516;-2272;32767;57;400;1;11;;;;;;;;
61682;18848;524;900;-12064;-147;911;14624;-2296;32767;36;426;22;2;;;;;;;;
63846;18832;208;968;-12007;-158;895;14652;-2292;32767;47;389;32;11;;;;;;;;
65865;18792;436;1068;-12017;-175;908;14552;-2244;32767;59;371;29;9;;;;;;;;
67887;18584;456;896;-12029;-207;879;14344;-2340;32767;58;363;140;7;;;;;;;;
70056;18792;328;932;-12123;-202;977;14580;-2268;32767;43;361;68;7;;;;;;;;
72075;18500;372;932;-12058;-172;913;14376;-2292;32767;34;395;31;2;;;;;;;;
74094;18788;464;900;-12172;-189;945;14564;-2304;32767;44;383;21;2;;;;;;;;
76342;18780;492;928;-12123;-161;875;14588;-2340;32767;70;385;33;13;;;;;;;;
78361;18760;264;864;-12055;-181;942;14560;-2332;32767;52;384;47;12;;;;;;;;
80380;18792;368;868;-12128;-137;905;14476;-2280;32767;55;388;12;12;;;;;;;;
82787;18752;508;1056;-12128;-194;850;14452;-2292;32767;37;392;27;13;;;;;;;;
84806;18760;316;720;-12049;-145;915;14584;-2280;32767;41;390;52;14;;;;;;;;
86825;18848;164;956;-12173;-149;996;14580;-2308;32767;57;408;24;16;;;;;;;;
89251;18696;336;944;-12141;-117;896;14548;-2260;32767;40;424;-1;3;;;;;;;;
91270;18856;564;900;-12153;-157;883;14540;-2308;32767;49;405;22;7;;;;;;;;
93289;18592;224;876;-11981;-175;939;14580;-2284;32767;65;387;2;10;;;;;;;;
95694;18780;812;808;-11961;-191;865;14528;-2224;32767;46;397;2;0;;;;;;;;
97716;18900;352;936;-12064;-162;903;14572;-2240;32767;56;386;50;0;;;;;;;;
99735;18912;340;884;-12073;-182;836;14624;-2244;32767;52;416;-4;0;;;;;;;;
102201;18652;492;1012;-12147;-172;800;14456;-2332;32767;54;410;41;7;;;;;;;;
104222;18788;348;1004;-12075;-193;949;14552;-2268;32767;58;365;13;10;;;;;;;;
106243;18760;308;864;-12015;-131;898;14564;-2332;32767;61;451;17;12;;;;;;;;
108943;18700;304;956;-12060;-200;901;14520;-2324;32767;39;381;27;14;;;;;;;;
110981;18780;124;932;-12168;-190;932;14616;-2184;32767;56;398;36;5;;;;;;;;
113005;18752;288;1100;-12071;-146;953;14592;-2312;32767;25;407;38;7;;;;;;;;
115251;18820;504;932;-12061;-180;827;14564;-2276;32767;55;386;38;1;;;;;;;;
117273;18764;400;928;-12096;-148;970;14564;-2252;32767;63;361;20;0;;;;;;;;
119295;18820;224;1016;-11984;-157;856;14616;-2288;32767;51;409;-3;0;;;;;;;;
121446;18904;360;940;-12108;-148;931;14528;-2220;32767;64;402;13;6;;;;;;;;
123468;18728;216;984;-11891;-156;897;14604;-2288;32767;36;403;27;5;;;;;;;;
125493;18816;260;1232;-12044;-182;930;14496;-2264;32767;56;412;34;0;;;;;;;;
127644;18836;148;984;-12064;-174;944;14604;-2244;32767;47;411;34;6;;;;;;;;
129666;18796;228;816;-12002;-161;1018;14572;-2308;32767;61;382;7;7;;;;;;;;
131688;18888;92;916;-12213;-170;932;14572;-2188;32767;45;378;12;4;;;;;;;;
134195;18820;572;904;-12034;-170;870;14564;-2232;32767;46;417;38;0;;;;;;;;
136217;18880;124;808;-11988;-159;908;14604;-2228;32767;23;401;31;0;;;;;;;;
138239;18752;380;1032;-12044;-149;926;14508;-2292;32767;52;372;43;0;;;;;;;;
140569;18896;416;956;-12126;-162;889;14524;-2184;32767;43;402;-1;0;;;;;;;;
142591;18832;520;944;-12105;-209;920;14548;-2228;32767;28;375;22;0;;;;;;;;
144613;18836;384;764;-12023;-157;981;14524;-2304;32767;53;405;6;0;;;;;;;;
147064;18828;640;948;-12080;-197;943;14604;-2284;32767;52;382;36;6;;;;;;;;
149086;18600;264;896;-12096;-158;907;14524;-2280;32767;40;408;25;1;;;;;;;;
151108;18940;388;1104;-12020;-144;964;14588;-2296;32767;32;414;12;2;;;;;;;;
153354;18804;240;840;-12058;-161;1003;14552;-2268;32767;61;367;16;0;;;;;;;;
155375;18856;368;1056;-12130;-168;1001;14600;-2272;32767;47;388;31;0;;;;;;;;
157397;18860;248;1040;-12000;-170;886;14620;-2260;32767;34;381;38;1;;;;;;;;
159548;18744;372;968;-12052;-178;985;14500;-2260;32767;68;384;35;0;;;;;;;;
161570;18808;216;1060;-12074;-164;855;14528;-2320;32767;54;385;34;0;;;;;;;;
163592;18728;568;868;-12142;-172;940;14576;-2308;32767;60;404;23;0;;;;;;;;
165868;18748;580;908;-12070;-142;871;14520;-2296;32767;30;409;7;0;;;;;;;;
167893;18784;476;1012;-12006;-173;934;14564;-2256;32767;47;394;30;0;;;;;;;;
169915;18800;392;920;-12126;-178;904;14580;-2252;32767;32;390;17;2;;;;;;;;
172155;18776;76;948;-12092;-165;918;14608;-2264;32767;43;415;33;0;;;;;;;;
174177;18680;252;996;-12143;-160;823;14552;-2336;32767;57;401;15;1;;;;;;;;
176199;18848;452;1108;-12117;-159;941;14568;-2228;32767;61;381;18;3;;;;;;;;
178355;18744;352;872;-12034;-207;991;14612;-2256;32767;50;354;45;3;;;;;;;;
180377;18844;200;996;-12116;-157;853;14640;-2236;32767;49;399;27;6;;;;;;;;
182404;18804;388;1048;-12066;-186;877;14604;-2168;32767;43;376;59;0;;;;;;;;
184748;18724;432;1020;-12176;-138;877;14652;-2212;32767;26;386;30;0;;;;;;;;
186770;18840;212;796;-12001;-160;936;14496;-2256;32767;50;423;22;0;;;;;;;;
188795;18704;404;864;-12053;-151;834;14476;-2300;32767;70;380;18;0;;;;;;;;
190949;18752;352;916;-12185;-201;812;14616;-2248;32767;40;383;24;0;;;;;;;;
192974;18804;-60;832;-12037;-180;956;14568;-2236;32767;72;382;31;0;;;;;;;;
194999;18804;228;964;-12029;-127;857;14580;-2284;32767;41;402;1;0;;;;;;;;
197168;18796;496;1084;-12008;-155;862;14568;-2220;32767;49;418;44;0;;;;;;;;
199193;18816;272;948;-12217;-150;861;14584;-2292;32767;37;389;0;0;;;;;;;;
201251;18792;552;908;-12078;-175;912;14632;-2176;32767;59;384;45;0;;;;;;;;
203953;18820;712;1024;-12035;-193;969;14532;-2224;32767;44;378;22;0;;;;;;;;
205978;18764;304;868;-12152;-142;968;14444;-2260;32767;45;423;45;0;;;;;;;;
208003;18840;480;896;-12116;-167;963;14528;-2228;32767;42;410;38;0;;;;;;;;
210257;18668;324;912;-12088;-176;943;14564;-2268;32767;53;412;8;0;;;;;;;;
212282;18752;300;1076;-12072;-181;873;14652;-2288;32767;49;377;34;0;;;;;;;;
214307;18744;276;888;-12032;-181;868;14504;-2292;32767;48;366;36;0;;;;;;;;
216556;18732;164;1012;-12183;-194;915;14540;-2264;32767;35;366;57;0;;;;;;;;
218581;18776;232;972;-12190;-152;882;14568;-2296;32767;66;414;20;0;;;;;;;;
220606;18856;340;1040;-11989;-142;932;14544;-2232;32767;68;395;13;0;;;;;;;;
222855;18928;380;904;-12155;-200;922;14668;-2272;32767;68;380;60;0;;;;;;;;
224896;18880;404;644;-12172;-176;921;14492;-2360;32767;82;402;26;0;;;;;;;;
226922;18668;396;724;-12123;-124;982;14324;-2232;32767;30;401;-21;0;;;;;;;;
229076;18724;236;844;-12019;-1;943;14588;-2200;32767;9;563;-152;0;;;;;;;;
231101;18712;528;784;-11977;-195;897;14472;-2196;32767;68;374;18;0;;;;;;;;
233126;18792;364;764;-12093;-141;875;14668;-2380;32767;54;419;22;0;;;;;;;;
235456;18912;576;700;-12089;-172;871;14552;-2220;32767;63;427;36;0;;;;;;;;
237481;18672;512;764;-12133;-167;886;14556;-2272;32767;56;384;38;0;;;;;;;;
239510;18848;404;700;-12163;-184;828;14504;-2212;32767;57;383;24;0;;;;;;;;
241760;18848;372;872;-12139;-149;947;14576;-2224;32767;44;413;27;0;;;;;;;;
243785;18848;384;772;-12061;-175;958;14568;-2208;32767;47;385;38;0;;;;;;;;
245810;18836;356;944;-12027;-170;878;14544;-2252;32767;46;403;38;0;;;;;;;;
248065;18900;424;772;-12037;-167;1041;14524;-2244;32767;39;383;-5;0;;;;;;;;
