Timer;Accel1X;Accel1Y;Accel1Z;Gyro1X;Gyro1Y;Gyro1Z;Accel2X;Accel2Y;Accel2Z;Gyro2X;Gyro2Y;Gyro2Z;Flexion;Latitude;Longitude;Altitude;Vitesse;Orientation;Satellites;HDOP
1736948126.0;;;;;;;;;;;;;;48.845556;2.357192;36.8;;;;
1736948127.0;;;;;;;;;;;;;;48.84553;2.357216;36.8;;;;
1736948128.0;;;;;;;;;;;;;;48.845531;2.357249;36.6;;;;
1736948129.0;;;;;;;;;;;;;;48.845538;2.357291;36.4;;;;
1736948130.0;;;;;;;;;;;;;;48.845544;2.357327;36.2;;;;
1736948131.0;;;;;;;;;;;;;;48.845547;2.357362;36.2;;;;
1736948132.0;;;;;;;;;;;;;;48.845554;2.357391;36.2;;;;
1736948133.0;;;;;;;;;;;;;;48.845555;2.357423;36.0;;;;
1736948134.0;;;;;;;;;;;;;;48.845562;2.357452;36.0;;;;
1736948135.0;;;;;;;;;;;;;;48.845585;2.357485;36.2;;;;
1736948136.0;;;;;;;;;;;;;;48.845602;2.357523;36.4;;;;
1736948137.0;;;;;;;;;;;;;;48.845622;2.357555;36.2;;;;
1736948138.0;;;;;;;;;;;;;;48.845645;2.357594;36.2;;;;
1736948139.0;;;;;;;;;;;;;;48.845666;2.35762;36.2;;;;
1736948140.0;;;;;;;;;;;;;;48.845692;2.357648;36.2;;;;
1736948141.0;;;;;;;;;;;;;;48.845719;2.357664;36.2;;;;
1736948142.0;;;;;;;;;;;;;;48.845743;2.35768;36.2;;;;
1736948143.0;;;;;;;;;;;;;;48.845766;2.357698;36.2;;;;
1736948144.0;;;;;;;;;;;;;;48.845784;2.357722;36.4;;;;
1736948145.0;;;;;;;;;;;;;;48.845804;2.357742;36.4;;;;
1736948146.0;;;;;;;;;;;;;;48.845817;2.357771;36.4;;;;
1736948147.0;;;;;;;;;;;;;;48.84583;2.357804;36.4;;;;
1736948148.0;;;;;;;;;;;;;;48.845841;2.357843;36.6;;;;
1736948149.0;;;;;;;;;;;;;;48.845845;2.357892;36.6;;;;
1736948150.0;;;;;;;;;;;;;;48.845846;2.357929;36.4;;;;
1736948151.0;;;;;;;;;;;;;;48.845852;2.357956;36.2;;;;
1736948152.0;;;;;;;;;;;;;;48.845873;2.357984;36.0;;;;
1736948153.0;;;;;;;;;;;;;;48.845886;2.358006;36.0;;;;
1736948154.0;;;;;;;;;;;;;;48.845898;2.358025;36.0;;;;
1736948155.0;;;;;;;;;;;;;;48.845917;2.358063;36.0;;;;
1736948156.0;;;;;;;;;;;;;;48.845937;2.358095;36.0;;;;
1736948157.0;;;;;;;;;;;;;;48.845952;2.358137;36.0;;;;
1736948158.0;;;;;;;;;;;;;;48.845975;2.358173;36.0;;;;
1736948159.0;;;;;;;;;;;;;;48.846001;2.358209;36.2;;;;
1736948160.0;;;;;;;;;;;;;;48.846035;2.35826;36.2;;;;
1736948161.0;;;;;;;;;;;;;;48.846063;2.358295;36.2;;;;
1736948162.0;;;;;;;;;;;;;;48.846096;2.358348;36.2;;;;
1736948163.0;;;;;;;;;;;;;;48.846124;2.358382;36.2;;;;
1736948164.0;;;;;;;;;;;;;;48.846148;2.358416;36.2;;;;
1736948165.0;;;;;;;;;;;;;;48.846172;2.358455;36.4;;;;
1736948166.0;;;;;;;;;;;;;;48.846195;2.358491;36.2;;;;
1736948167.0;;;;;;;;;;;;;;48.846216;2.358523;36.4;;;;
1736948168.0;;;;;;;;;;;;;;48.846239;2.358555;36.4;;;;
1736948169.0;;;;;;;;;;;;;;48.846259;2.358583;36.4;;;;
1736948170.0;;;;;;;;;;;;;;48.846278;2.358611;36.4;;;;
1736948171.0;;;;;;;;;;;;;;48.846303;2.358637;36.4;;;;
1736948172.0;;;;;;;;;;;;;;48.846321;2.358662;36.4;;;;
1736948173.0;;;;;;;;;;;;;;48.84634;2.358684;36.4;;;;
1736948174.0;;;;;;;;;;;;;;48.846356;2.35869;36.4;;;;
1736948175.0;;;;;;;;;;;;;;48.846371;2.358672;36.4;;;;
1736948176.0;;;;;;;;;;;;;;48.846383;2.358624;36.4;;;;
1736948177.0;;;;;;;;;;;;;;48.846404;2.358585;36.4;;;;
1736948178.0;;;;;;;;;;;;;;48.846422;2.358554;36.2;;;;
1736948179.0;;;;;;;;;;;;;;48.84644;2.358516;36.0;;;;
1736948180.0;;;;;;;;;;;;;;48.846469;2.358469;36.0;;;;
1736948181.0;;;;;;;;;;;;;;48.846506;2.358429;36.0;;;;
1736948182.0;;;;;;;;;;;;;;48.846545;2.358399;36.0;;;;
1736948183.0;;;;;;;;;;;;;;48.846583;2.358397;36.0;;;;
1736948248.0;;;;;;;;;;;;;;48.846644;2.358417;36.8;;;;
1736948249.0;;;;;;;;;;;;;;48.846669;2.358434;36.8;;;;
1736948250.0;;;;;;;;;;;;;;48.846684;2.35845;36.6;;;;
1736948251.0;;;;;;;;;;;;;;48.846691;2.358482;36.6;;;;
1736948252.0;;;;;;;;;;;;;;48.846716;2.358513;36.6;;;;
1736948253.0;;;;;;;;;;;;;;48.846745;2.358549;36.6;;;;
1736948254.0;;;;;;;;;;;;;;48.84677;2.358572;36.8;;;;
1736948255.0;;;;;;;;;;;;;;48.846793;2.358603;37.0;;;;
1736948256.0;;;;;;;;;;;;;;48.846808;2.358639;37.0;;;;
1736948257.0;;;;;;;;;;;;;;48.846821;2.358669;37.0;;;;
1736948258.0;;;;;;;;;;;;;;48.84684;2.358697;37.2;;;;
1736948259.0;;;;;;;;;;;;;;48.846861;2.358731;37.2;;;;
1736948260.0;;;;;;;;;;;;;;48.846877;2.358758;37.2;;;;
